"","us-bibliographic-data-grant.publication-reference1","us-bibliographic-data-grant.publication-reference2","us-bibliographic-data-grant.publication-reference3","us-bibliographic-data-grant.publication-reference4","us-bibliographic-data-grant.application-reference1","us-bibliographic-data-grant.application-reference2","us-bibliographic-data-grant.application-reference3","us-bibliographic-data-grant.application-reference..attrs.appl-type","us-bibliographic-data-grant.us-application-series-code","us-bibliographic-data-grant.us-term-of-grant.length-of-grant","us-bibliographic-data-grant.classification-locarno.edition","us-bibliographic-data-grant.classification-locarno.main-classification","us-bibliographic-data-grant.classification-national.country","us-bibliographic-data-grant.classification-national.main-classification","us-bibliographic-data-grant.invention-title.text","us-bibliographic-data-grant.invention-title..attrs.id","us-bibliographic-data-grant.number-of-claims","us-bibliographic-data-grant.us-exemplary-claim","us-bibliographic-data-grant.figures.number-of-drawing-sheets","us-bibliographic-data-grant.figures.number-of-figures","us-bibliographic-data-grant.us-parties.us-applicants.address.city","us-bibliographic-data-grant.us-parties.us-applicants.address.country","us-bibliographic-data-grant.us-parties.us-applicants.country","us-bibliographic-data-grant.us-parties.us-applicants.sequence","us-bibliographic-data-grant.us-parties.us-applicants.app-type","us-bibliographic-data-grant.us-parties.us-applicants.designation","us-bibliographic-data-grant.us-parties.inventors1","us-bibliographic-data-grant.us-parties.inventors2","us-bibliographic-data-grant.us-parties.inventors.city","us-bibliographic-data-grant.us-parties.inventors.country","us-bibliographic-data-grant.us-parties.inventors.sequence","us-bibliographic-data-grant.us-parties.inventors.designation","drawings..attrs.id","description..attrs.id","us-claim-statement","claims1","claims.id","claims.num","claims..attrs.id",".attrs.lang",".attrs.dtd-version",".attrs.file",".attrs.status",".attrs.id",".attrs.country",".attrs.date-produced",".attrs.date-publ"
"xml","US","D0786664","S1","20170516","US","29564139","20160511","design","29","15","10","0903","US","D 9418","Narrow box set for ties","d2e53","1","1","7","8","Great Neck","US","US","001","applicant","us-only","Lee","In Y.","Great Neck","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a narrow box set for ties, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786664-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786665","S1","20170516","US","29564152","20160511","design","29","15","10","0903","US","D 9418","Wide box set for ties","d2e53","1","1","7","8","Great Neck","US","US","001","applicant","us-only","Lee","In Y.","Great Neck","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a wide box set for ties, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786665-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786666","S1","20170516","US","29569508","20160628","design","29","15","10","0903","US","D 9421","Container with butterfly lid closure","d2e53","1","1","6","8","Chelsea","US","US","001","applicant","us-only","Bordieri","Anthony","Medfore","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a container with butterfly lid closure, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786666-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786667","S1","20170516","US","35500502","20150717","design","35","15","10","0903","US","D 9429","Container for coffee capsule","d2e53","1","1","7","7","Chungcheongbuk-do","KR","KR","001","applicant","us-only","Kim","Ho Tae","Cheongju-si","KR","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a container for coffee capsule, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786667-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786668","S1","20170516","US","29553774","20160204","design","29","15","10","0903","US","D 9430","Octagonally shaped product container","d2e53","1","1","6","8","Memphis","US","US","001","applicant","us-only","Cornaglia","Nicholas Carlo","Mount Laurel","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an octagonally shaped product container, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786668-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786669","S1","20170516","US","29542925","20151019","design","29","15","10","0903","US","D 9432","Open tray with riser and guide panels","d2e53","1","1","7","7","North Chicago","US","US","001","applicant","us-only","Kim","Lori","Green Oaks","US","001","us-only","DRAWINGS","description","CLAIM","We claim the ornamental design for an open tray with riser and guide panels, as substantially shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786669-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786670","S1","20170516","US","29547931","20151209","design","29","15","10","0903","US","D 9432","Packing box for water hose","d2e53","1","1","8","8","Changhua County","TW","TW","001","applicant","us-only","Lin","Ting-I","Changhua County","TW","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a packing box for water hose, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786670-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786671","S1","20170516","US","29546010","20151118","design","29","15","10","0907","US","D 9443","Bottle cap","d2e53","1","1","7","7","Vevey","CH","CH","001","applicant","us-only","Khetarpaul","Smeeta","Pelham","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a bottle cap, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786671-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786672","S1","20170516","US","29553220","20160129","design","29","15","10","0907","US","D 9443","Cap","d2e71","1","1","7","7","Houten","NL","NL","001","applicant","us-only","van Spronsen","Frederik Adriaan","Geldrop","NL","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a cap, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786672-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786673","S1","20170516","US","29553282","20160129","design","29","15","10","0907","US","D 9443","Bottle splash guard","d2e53","1","1","4","7","Wasilla","US","US","001","applicant","us-only","Moffat","Kyle","Wasilla","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a bottle splash guard, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786673-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786674","S1","20170516","US","29537962","20150831","design","29","15","10","0906","US","D 9446","Bottle cap","d2e53","1","1","11","14","Tweksbury","US","US","001","applicant","us-only","Miller","Michael David","Tweksbury","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a bottle cap, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786674-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786675","S1","20170516","US","29499588","20140815","design","29","14","10","0907","US","D 9449","Lid for an egg carton","d2e53","1","1","7","9","King of Prussia","US","US","001","applicant","us-only","Ramirez","Richard L.","Lawrenceville","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a lid for an egg carton, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786675-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786676","S1","20170516","US","29545411","20151112","design","29","15","10","0907","US","D 9449","Dispenser head","d2e71","1","1","6","6","Gennevilliers","FR","FR","001","applicant","us-only","Bloc","Richard","Derchigny","FR","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a dispenser head, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786676-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786677","S1","20170516","US","29568169","20160615","design","29","15","10","0907","US","D 9456","Insert for a box","d2e53","1","1","8","8","Auckland","NZ","NZ","001","applicant","us-only","Griffith","Jerrod V.","Auckland","NZ","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an insert for a box, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786677-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786678","S1","20170516","US","35500542","20151208","design","35","15","10","0901","US","D 9500","Packaging pot","d2e53","1","1","7","7","Paris","FR","FR","001","applicant","us-only","Pritulin-Citerne","Agnes","Ormesson sur Marne","FR","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for packaging pot, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786678-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786679","S1","20170516","US","29528064","20150526","design","29","15","10","0901","US","D 9504","Flask and cap assembly","d2e53","1","1","2","4","Itapecerica da Serra","BR","BR","001","applicant","us-only","Barroso Miana","Bianca","Sao Paulo","BR","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a flask and cap assembly, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786679-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786680","S1","20170516","US","29546445","20151123","design","29","15","10","0901","US","D 9516","Over the counter medicinal container with surface ornamentation","d2e53","1","1","6","14","Cincinnati","US","US","001","applicant","us-only","Merchant","Jennifer Marie","Cincinnati","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an over the counter medicinal container with surface ornamentation, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786680-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786681","S1","20170516","US","29558325","20160316","design","29","15","10","0901","US","D 9521","Container","d2e53","1","1","5","7","New York","US","US","001","applicant","us-only","Toh","Kiat-Cheong","Forest Hills","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a container, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786681-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786682","S1","20170516","US","29511067","20141205","design","29","14","10","0901","US","D 9529","Bottle with cap","d2e71","1","1","5","7","Slough, Berkshire","GB","GB","001","applicant","us-only","Bos","Randy","Eindhoven","NL","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a bottle with cap, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786682-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786683","S1","20170516","US","29537967","20150831","design","29","15","10","0901","US","D 9529","Bottle with cap","d2e53","1","1","6","7","Tweksbury","US","US","001","applicant","us-only","Miller","Michael David","Tweksbury","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a bottle with cap, substantially as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786683-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786684","S1","20170516","US","29545593","20151113","design","29","15","10","0901","US","D 9529","Bottle","d2e53","1","1","6","6","San Francisco","US","US","001","applicant","us-only","McGreevy","Sean","Emmeryville","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a bottle, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786684-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786685","S1","20170516","US","29536801","20150819","design","29","15","10","0901","US","D 9531","Bottle","d2e53","1","1","3","8","Fayetteville","US","US","001","applicant","us-only","Steelman","Ray","Fayetteville","US","001","us-only","DRAWINGS","description","CLAIM","What is claimed is the ornamental design for a bottle, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786685-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786686","S1","20170516","US","29486375","20140328","design","29","14","10","0901","US","D 9550","Bottle","d2e90","1","1","8","14","Norwalk","US","US","001","applicant","us-only","Robin-Prevallee","Laurent","London","GB","001","us-only","DRAWINGS","description","CLAIM","I claim the ornamental design for a bottle, substantially as shown.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786686-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786687","S1","20170516","US","29515531","20150123","design","29","14","10","0901","US","D 9550","Bottle","d2e53","1","1","2","5","Boca Raton","US","US","001","applicant","us-only","Cooper","Norton J.","Boca Raton","US","001","us-only","DRAWINGS","description","CLAIM","An ornamental design for a bottle, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786687-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786688","S1","20170516","US","29518671","20150226","design","29","14","10","0901","US","D 9560","Ink bottle","d2e71","1","1","7","13","Tokyo","JP","JP","001","applicant","us-only","Takei","Kimie","Tokyo","JP","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an ink bottle, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786688-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786689","S1","20170516","US","29498559","20140805","design","29","14","10","0901","US","D 9573","Perfume bottle and cap","d2e71","1","1","5","7","Cincinnati","US","US","001","applicant","us-only","Dalton","Suzanne","Paris","FR","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a perfume bottle and cap, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786689-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786690","S1","20170516","US","29498553","20140805","design","29","14","10","0901","US","D 9574","Perfume bottle and cap","d2e71","1","1","6","7","Cincinnati","US","US","001","applicant","us-only","Dalton","Suzanne","Paris","FR","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a perfume bottle and cap, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786690-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786691","S1","20170516","US","29554589","20160212","design","29","15","10","0901","US","D 9600","Gift box with fur","d2e53","1","1","5","6","Cleveland","US","US","001","applicant","us-only","Mayer","David","Bay Village","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a gift box with fur, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786691-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786692","S1","20170516","US","29512710","20141222","design","29","14","10","0901","US","D 9690","Cosmetic container","d2e71","1","1","6","6","Incheon","KR","KR","001","applicant","us-only","Kim","You-seob","Incheon","KR","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a cosmetic container, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786692-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786693","S1","20170516","US","29537855","20150828","design","29","15","10","0905","US","D 9703","Food dispensing pouch","d2e53","1","1","2","2","Bedford","US","US","001","applicant","us-only","McNabb","Elyse","Bedford","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a “food dispensing pouch,” as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786693-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786694","S1","20170516","US","29558180","20160315","design","29","15","10","0905","US","D 9703","Disposable bag","d2e53","1","1","3","6","Cleveland","US","US","001","applicant","us-only","Abang, Jr.","Robert Owan","Cleveland","US","001","us-only","DRAWINGS","description","CLAIM","I claim the ornamental design for a disposable bag, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786694-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786695","S1","20170516","US","29558711","20160321","design","29","15","10","0905","US","D 9703","Trash bag","d2e53","1","1","3","6","Cleveland","US","US","001","applicant","us-only","Abang, Jr.","Robert Owan","Cleveland","US","001","us-only","DRAWINGS","description","CLAIM","I claim the ornamental design for a trash bag, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786695-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786696","S1","20170516","US","29558803","20160322","design","29","15","10","0905","US","D 9703","Disposable bag","d2e53","1","1","3","6","Cleveland","US","US","001","applicant","us-only","Abang, Jr.","Robert Owan","Cleveland","US","001","us-only","DRAWINGS","description","CLAIM","I claim the ornamental design for a disposable bag, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786696-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786697","S1","20170516","US","29548779","20151216","design","29","15","10","0905","US","D 9708","Flexible jug","d2e53","1","1","10","14","Telford","US","US","001","applicant","us-only","Dytchkowskyj","David Zenon","Hubertus","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for the flexible jug, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786697-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786698","S1","20170516","US","29558882","20160322","design","29","15","10","0905","US","D 9709","Segmented snack bag","d2e53","1","1","9","9","Plantersville","US","US","001","applicant","us-only","Shoemaker","Ray","Plantersville","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a segmented snack bag, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786698-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786699","S1","20170516","US","29554802","20160216","design","29","15","10","0905","US","D 9711","Packaging for confectionery","d2e53","1","1","4","7","Gatchina","RU","RU","001","applicant","us-only","Shipulin","Mikhail","Gatchina","RU","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a packaging for confectionery, substantially as shown.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786699-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786700","S1","20170516","US","29564071","20160510","design","29","15","10","0901","US","D 9729","Cosmetic container","d2e53","1","1","6","7","Parker","US","US","001","applicant","us-only","Schlatter","Gary","Parker","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a cosmetic container, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786700-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786701","S1","20170516","US","29509558","20141119","design","29","14","10","0901","US","D 9732","Pharmaceutical package","d2e53","1","1","6","7","Skillman","US","US","001","applicant","us-only","Sowden","Harry S.","Glenside","US","001","us-only","DRAWINGS","description","CLAIM","I claim the ornamental design for a pharmaceutical package, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786701-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786702","S1","20170516","US","29513420","20141230","design","29","14","10","0903","US","D 9752","Stackable bottle carrier with raised handle","d2e53","1","1","5","6","Eugene","US","US","001","applicant","us-only","Borg","Zakary James","Eugene","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a stackable bottle carrier with raised handle, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786702-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786703","S1","20170516","US","29542009","20151009","design","29","15","10","0901","US","D 9779","Beverage can","d2e53","1","1","2","4","Alsip","US","US","001","applicant","us-only","Chapman","Adrian Roy","Swindon","GB","001","us-only","DRAWINGS","description","CLAIM","We claim the ornamental design for a beverage can, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786703-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786704","S1","20170516","US","29530530","20150617","design","29","15","10","1001","US","D10 38","Watch","d2e71","1","1","5","7","La Chaux-de-Fonds","CH","CH","001","applicant","us-only","Behling","Christoph","London","GB","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a watch, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786704-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786705","S1","20170516","US","29549796","20151228","design","29","15","10","1002","US","D10 38","Watch","d2e53","1","1","9","10","Encinitas","US","US","001","applicant","us-only","Babcock","Joseph","Encinitas","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a watch, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786705-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786706","S1","20170516","US","29555024","20160217","design","29","15","10","1002","US","D10 38","Watch with display","d2e53","1","1","3","8","Schaffhausen","CH","CH","001","applicant","us-only","Connor","Stephen W.","Overland Park","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a watch with display, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786706-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786707","S1","20170516","US","29552000","20160119","design","29","15","10","1004","US","D10 46","Wavelength scanning apparatus","d2e53","1","1","4","7","Lincoln","US","US","001","applicant","us-only","Oommen","Abraham","Omaha","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a wavelength scanning apparatus, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786707-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786708","S1","20170516","US","29540533","20150925","design","29","15","10","1004","US","D10 462","Portion control device","d2e53","1","1","4","7","Sioux Falls","US","US","001","applicant","us-only","Maguire","Aaron John","Sioux Falls","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a portion control device, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786708-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786709","S1","20170516","US","29560290","20160405","design","29","15","10","1004","US","D10 462","Closed-system fluid measuring and dispensing device","d2e53","1","1","6","7","Hollywood","US","US","001","applicant","us-only","Pagliarulo","Gregg","Hollywood","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a closed-system fluid measuring and dispensing device, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786709-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786710","S1","20170516","US","29571594","20160720","design","29","15","10","1004","US","D10 50","Temperature display device","d2e53","1","1","7","7","Palatine","US","US","001","applicant","us-only","Repp","Timothy C.","Barkhamsted","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a temperature display device, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786710-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786711","S1","20170516","US","29571596","20160720","design","29","15","10","1004","US","D10 50","Temperature display device","d2e53","1","1","7","7","Palatine","US","US","001","applicant","us-only","Repp","Timothy C.","Barkhamsted","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a temperature display device, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786711-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786712","S1","20170516","US","29571598","20160720","design","29","15","10","1004","US","D10 50","Temperature display device","d2e53","1","1","7","7","Palatine","US","US","001","applicant","us-only","Repp","Timothy C.","Barkhamsted","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a temperature display device, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786712-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786713","S1","20170516","US","29571599","20160720","design","29","15","10","1004","US","D10 50","Temperature display device","d2e53","1","1","7","7","Palatine","US","US","001","applicant","us-only","Repp","Timothy C.","Barkhamsted","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a temperature display device, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786713-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786714","S1","20170516","US","29571600","20160720","design","29","15","10","1004","US","D10 50","Temperature display device","d2e53","1","1","7","7","Palatine","US","US","001","applicant","us-only","Repp","Timothy C.","Barkhamsted","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a temperature display device, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786714-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786715","S1","20170516","US","29560933","20160412","design","29","15","10","1004","US","D10 60","Temperature display device support","d2e53","1","1","7","7","Palatine","US","US","001","applicant","us-only","Repp","Timothy C.","Barkhamsted","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a temperature display device support, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786715-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786716","S1","20170516","US","29569179","20160624","design","29","15","10","1004","US","D10 60","Thermometer","d2e53","1","1","3","8","Chicago","US","US","001","applicant","us-only","Stanton","Jacob Alan","Chicago","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a thermometer, as shown and described in the following Figures.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786716-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786717","S1","20170516","US","29546869","20151126","design","29","15","10","1004","US","D10 66","Geodetic instrument","d2e53","1","1","8","8","Danderyd","SE","SE","001","applicant","us-only","Grieves","Robin","Stockholm","SE","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for geodetic instrument, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786717-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786718","S1","20170516","US","29547846","20151208","design","29","15","10","1004","US","D10 69","Level","d2e53","1","1","9","9","Brookfield","US","US","001","applicant","us-only","Burge","Joseph William","Milwaukee","US","001","us-only","DRAWINGS","description","CLAIM","We claim the ornamental design for a level, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786718-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786719","S1","20170516","US","29526122","20150506","design","29","14","10","1004","US","D10 78","Calibrator","d2e71","1","1","7","7","Klingenberg","DE","DE","001","applicant","us-only","Woerner","Marco","Klingenberg","DE","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a calibrator, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786719-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786720","S1","20170516","US","29546232","20151120","design","29","15","10","1004","US","D10 79","Electrical measuring device","d2e253","1","1","5","5","Blomberg","DE","DE","001","applicant","us-only","Lockstedt","Kay","Blomberg","DE","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an electrical measuring device, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786720-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786721","S1","20170516","US","29542619","20151015","design","29","15","10","1004","US","D10 81","Light chamber of a gas sensor","d2e53","1","1","8","9","Hsinchu","TW","TW","001","applicant","us-only","Wang","Chien-Hsun","Hsinchu","TW","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a light chamber of a gas sensor, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786721-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786722","S1","20170516","US","29544699","20151209","design","29","15","10","1004","US","D10 81","Explosive detection package","d2e53","1","1","12","13","Andover","US","US","001","applicant","us-only","Applegate","Christopher D.","Andover","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an explosive detection package, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786722-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
